"","study_id","BioProject","host_plant","SampleName","gene_region"
"ERR3245554","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533913","V4"
"ERR3245555","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533914","V4"
"ERR3245556","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533915","V4"
"ERR3245557","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533916","V4"
"ERR3245558","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533917","V4"
"ERR3245559","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533919","V4"
"ERR3245560","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533920","V4"
"ERR3245561","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533921","V4"
"ERR3245562","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533923","V4"
"ERR3245563","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533924","V4"
"ERR3245564","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533925","V4"
"ERR3245565","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533926","V4"
"ERR3245566","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533927","V4"
"ERR3245567","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533928","V4"
"ERR3245568","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533929","V4"
"ERR3245569","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533930","V4"
"ERR3245570","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533931","V4"
"ERR3245571","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533932","V4"
"ERR3245572","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533934","V4"
"ERR3245573","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533935","V4"
"ERR3245574","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533936","V4"
"ERR3245575","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533937","V4"
"ERR3245576","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533938","V4"
"ERR3245577","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533939","V4"
"ERR3245578","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533940","V4"
"ERR3245579","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533941","V4"
"ERR3245580","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533942","V4"
"ERR3245581","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533944","V4"
"ERR3245582","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533945","V4"
"ERR3245583","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533946","V4"
"ERR3245584","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533947","V4"
"ERR3245585","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533948","V4"
"ERR3245586","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533949","V4"
"ERR3245587","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533950","V4"
"ERR3245588","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533951","V4"
"ERR3245589","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533952","V4"
"ERR3245590","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533953","V4"
"ERR3245591","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533954","V4"
"ERR3245592","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533955","V4"
"ERR3245593","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533956","V4"
"ERR3245594","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533958","V4"
"ERR3245595","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533959","V4"
"ERR3245596","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533960","V4"
"ERR3245597","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533961","V4"
"ERR3245598","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533962","V4"
"ERR3245599","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533963","V4"
"ERR3245600","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533964","V4"
"ERR3245601","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533965","V4"
"ERR3245602","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533966","V4"
"ERR3245603","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533967","V4"
"ERR3245604","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533968","V4"
"ERR3245605","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533970","V4"
"ERR3245606","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533971","V4"
"ERR3245607","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533972","V4"
"ERR3245608","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533973","V4"
"ERR3245609","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533974","V4"
"ERR3245610","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533975","V4"
"ERR3245611","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533976","V4"
"ERR3245612","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533977","V4"
"ERR3245613","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533978","V4"
"ERR3245614","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533979","V4"
"ERR3245615","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533980","V4"
"ERR3245616","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533981","V4"
"ERR3245617","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533983","V4"
"ERR3245618","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533984","V4"
"ERR3245619","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533985","V4"
"ERR3245620","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533986","V4"
"ERR3245621","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533987","V4"
"ERR3245622","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533988","V4"
"ERR3245623","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533989","V4"
"ERR3245624","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533990","V4"
"ERR3245625","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533991","V4"
"ERR3245626","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533992","V4"
"ERR3245627","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533993","V4"
"ERR3245628","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533994","V4"
"ERR3245629","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533996","V4"
"ERR3245630","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533997","V4"
"ERR3245631","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533998","V4"
"ERR3245632","Prado 2020","PRJEB31847","Brassica napus","SAMEA5533999","V4"
"ERR3245633","Prado 2020","PRJEB31847","Brassica napus","SAMEA5534000","V4"
"ERR3245634","Prado 2020","PRJEB31847","Brassica napus","SAMEA5534001","V4"
"ERR3245635","Prado 2020","PRJEB31847","Brassica napus","SAMEA5534002","V4"
"ERR3245636","Prado 2020","PRJEB31847","Brassica napus","SAMEA5534003","V4"
"ERR3245637","Prado 2020","PRJEB31847","Brassica napus","SAMEA5534004","V4"
"ERR3245638","Prado 2020","PRJEB31847","Brassica napus","SAMEA5534005","V4"
"ERR3245639","Prado 2020","PRJEB31847","Brassica napus","SAMEA5534006","V4"
"ERR3245640","Prado 2020","PRJEB31847","Brassica napus","SAMEA5534007","V4"
"ERR3245641","Prado 2020","PRJEB31847","Brassica napus","SAMEA5534008","V4"
"ERR3245642","Prado 2020","PRJEB31847","Brassica napus","SAMEA5534009","V4"
"ERR3245643","Prado 2020","PRJEB31847","Brassica napus","SAMEA5534011","V4"
"ERR3245644","Prado 2020","PRJEB31847","Brassica napus","SAMEA5534012","V4"
"ERR3245645","Prado 2020","PRJEB31847","Brassica napus","SAMEA5534013","V4"
"ERR3245646","Prado 2020","PRJEB31847","Brassica napus","SAMEA5534014","V4"
"ERR3245647","Prado 2020","PRJEB31847","Brassica napus","SAMEA5534015","V4"
"ERR3245648","Prado 2020","PRJEB31847","Brassica napus","SAMEA5534016","V4"
