id_2v,X1,X2,mid
10042055_t1,0.055388895,0.141622797,10042055_t1
10042055_t2,0.013685566,0.17274128,10042055_t2
10057608_t1,-0.133348888,0.040738019,10057608_t1
10057608_t2,-0.132052576,-0.204515453,10057608_t2
10083403_t1,0.226867704,-0.188227411,10083403_t1
10230266_t2,-0.12360679,0.055844083,10230266_t2
10240582_t2,0.233910614,0.093326225,10240582_t2
10280204_t2,-0.197528716,-0.097849527,10280204_t2
10285435_t2,0.184524363,0.099714324,10285435_t2
10304173_t2,0.235073231,0.054367145,10304173_t2
10306807_t1,0.030576247,0.132714183,10306807_t1
10306807_t2,-0.018497802,0.117556344,10306807_t2
10342712_t2,0.211813732,-0.20472301,10342712_t2
10391948_t1,-0.071295677,-0.057032443,10391948_t1
10391948_t2,0.024773367,0.093594989,10391948_t2
10502288_t2,0.041467773,-0.035577997,10502288_t2
10536335_t1,-0.186545378,-0.057027783,10536335_t1
10540312_t1,0.081159789,0.12104757,10540312_t1
10549563_t2,0.0006554,0.082016597,10549563_t2
10551221_t2,-0.102691506,-0.182849474,10551221_t2
10585880_t1,0.273932844,0.093772139,10585880_t1
10585880_t2,0.193412766,0.156722553,10585880_t2
10598702_t1,-0.089883037,-0.013189669,10598702_t1
10598702_t2,-0.071794432,-0.038518461,10598702_t2
10626339_t1,0.201764116,-0.135717537,10626339_t1
10626339_t2,0.232749641,-0.02943312,10626339_t2
10650433_t1,0.303206731,0.0264476,10650433_t1
10650433_t2,0.298894529,-0.237314855,10650433_t2
10681665_t1,-0.008886292,-0.086379635,10681665_t1
10713431_t1,0.320516855,-0.156088072,10713431_t1
10713431_t2,0.266542239,-0.028352752,10713431_t2
10797719_t2,-0.005913367,-0.147707383,10797719_t2
10807867_t1,0.133274925,0.193217074,10807867_t1
11026074_t1,0.167108565,0.193294968,11026074_t1
11043800_t2,0.28220359,-0.010770964,11043800_t2
11078743_t2,-0.082778385,-0.006792987,11078743_t2
11188967_t1,-0.166734642,-0.064036627,11188967_t1
